Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation,source_file
Cardiology,Cardiac Catheterization,93456,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary
angiography, imaging supervision and interpretation; with right heart catheterization",Yes,MedSolutions,,Table_table_12.csv
Cardiology,Cardiac Catheterization,93453,"Combined right and left heart catheterization including intraprocedural injection(s) for left ventriculography, imaging
supervision and interpretation, when performed",Yes,MedSolutions,,Table_table_12.csv
Cardiology,"Cardiac
Electrophysiology",93621,"Comprehensive electrophysiologic evaluation including insertion and repositioning of multiple electrode catheters with
induction or attempted induction of arrhythmia; with left atrial pacing and recording from coronary sinus or left atrium (List
separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_12.csv
Cardiology,"Cardiac
Electrophysiology",93622,"Comprehensive electrophysiologic evaluation including insertion and repositioning of multiple electrode catheters with
induction or attempted induction of arrhythmia; with left ventricular pacing and recording (List separately in addition to code
for primary procedure)",Add On,CareCore National,,Table_table_12.csv
Cardiology,"Cardiac
Electrophysiology",93620,"Comprehensive electrophysiologic evaluation including insertion and repositioning of multiple electrode catheters with
induction or attempted induction of arrhythmia; with right atrial pacing and recording, right ventricular pacing and recording,
His bundle recording",Yes,CareCore National,,Table_table_12.csv
Cardiology,"Cardiac
Electrophysiology",93653,"Comprehensive electrophysiologic evaluation with insertion and repositioning of multiple electrode catheters, induction or
attempted induction of an arrhythmia with right atrial pacing and recording and catheter ablation of arrhythmogenic focus,
including intracardiac electrophysiologic 3-dimensional mapping, right ventricular pacing and recording, left atrial pacing and
recording from coronary sinus or left atrium, and His bundle recording, when performed; with treatment of supraventricular
tachycardia by ablation of fast or slow atrioventricular pathway, accessory atrioventricular connection, cavo-tricuspid isthmus
or other single atrial focus or source of atrial re-entry",Yes,CareCore National,,Table_table_13.csv
Cardiology,"Cardiac
Electrophysiology",93654,"Comprehensive electrophysiologic evaluation with insertion and repositioning of multiple electrode catheters, induction or
attempted induction of an arrhythmia with right atrial pacing and recording and catheter ablation of arrhythmogenic focus,
including intracardiac electrophysiologic 3-dimensional mapping, right ventricular pacing and recording, left atrial pacing and
recording from coronary sinus or left atrium, and His bundle recording, when performed; with treatment of ventricular
tachycardia or focus of ventricular ectopy including left ventricular pacing and recording, when performed",Yes,CareCore National,,Table_table_13.csv
Cardiology,"Cardiac
Electrophysiology",93619,"Comprehensive electrophysiologic evaluation with right atrial pacing and recording, right ventricular pacing and recording, His
bundle recording, including insertion and repositioning of multiple electrode catheters, without induction or attempted
induction of arrhythmia",Yes,CareCore National,,Table_table_13.csv
Cardiology,"Cardiac
Electrophysiology",93656,"Comprehensive electrophysiologic evaluation with transseptal catheterizations, insertion and repositioning of multiple
electrode catheters, induction or attempted induction of an arrhythmia including left or right atrial pacing/recording, and
intracardiac catheter ablation of atrial fibrillation by pulmonary vein isolation, including intracardiac electrophysiologic 3-
dimensional mapping, intracardiac echocardiography with imaging supervision and interpretation, right ventricular
pacing/recording, and His bundle recording, when performed",Yes,CareCore National,,Table_table_13.csv
Cardiology,Cardiac Surgery,33266,"Endoscopy, surgical; operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure), without
cardiopulmonary bypass",Yes,CareCore National,,Table_table_13.csv
